PassengerId,Pclass,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,Sex,Age,SibSp,Parch,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Fare,Embarked
1,3,1,2,3,4,5,6,7,8,9,2,10,8,11,12,13,5,8,14,3,2,2,15,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.0,1,0,1,2,3,4,5,6,6,7,6,0,0,0,0,0,0,0,0,0,7.25,1
2,1,17,4,18,15,5,19,16,7,8,9,2,16,10,8,20,21,22,5,8,1,2,3,6,23,13,24,8,25,26,23,21,2,13,5,27,13,8,1,2,15,19,19,16,8,28,22,3,24,13,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,38.0,1,0,8,9,4,6,7,3,10,10,0,0,0,0,0,0,0,0,0,0,71.2833,2
3,3,14,13,15,30,30,15,5,13,5,7,8,9,15,16,16,10,8,31,3,15,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26.0,0,0,11,12,13,14,2,13,5,15,4,16,6,17,6,5,18,5,0,0,7.925,1
4,1,26,4,32,2,13,23,23,13,7,8,9,2,16,10,8,20,3,27,33,4,13,16,8,14,13,3,32,22,8,25,31,15,23,24,8,9,3,24,8,34,13,13,23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35.0,1,0,6,6,16,18,17,16,0,0,0,0,0,0,0,0,0,0,0,0,53.1,1
5,3,35,23,23,13,5,7,8,9,2,10,8,36,15,23,23,15,3,18,8,14,13,5,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0,0,0,16,7,16,19,3,17,0,0,0,0,0,0,0,0,0,0,0,0,8.05,1
7,1,9,27,17,3,2,32,22,24,7,8,9,2,10,8,28,15,18,21,32,22,24,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,0,0,6,7,19,20,16,0,0,0,0,0,0,0,0,0,0,0,0,0,51.8625,1
8,3,34,3,23,16,16,21,5,7,8,9,3,16,32,13,2,10,8,37,21,16,32,3,8,31,13,21,5,3,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,3,1,16,19,10,10,17,10,0,0,0,0,0,0,0,0,0,0,0,0,21.075,1
9,3,20,21,22,5,16,21,5,7,8,9,2,16,10,8,11,16,27,3,2,8,36,8,25,38,23,15,16,3,39,13,32,22,8,40,15,23,22,13,23,18,15,5,3,8,1,13,2,19,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,27.0,0,2,16,19,7,7,19,5,0,0,0,0,0,0,0,0,0,0,0,0,11.1333,1
10,2,41,3,16,16,13,2,7,8,9,2,16,10,8,41,15,27,22,21,23,3,16,8,25,35,6,13,23,13,8,35,27,22,13,18,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14.0,1,0,5,16,7,7,16,20,0,0,0,0,0,0,0,0,0,0,0,0,30.0708,2
